type,channel,date,text,views,reactions_count,post_id,reply_to_post_id,clean_text,emotion,emotion_v2
post,spydell_finance,2023-01-19 15:47:01+00:00,"Неожиданный поворот. Оказывается, что половина всех принадлежащих ОФЗ, якобы на счетах у нерезидентов, является собственностью резидентов России!

После начала СВО объем ОФЗ, который формально числился у нерезидентов застыл на отметке 2.74 трлн и практически не менялся с марта по октябрь 2022, а в марте неожиданно было расконсервировано и списано почти 600 млрд ОФЗ.

В итоге доля ОФЗ снизилась с 17.6% до 13.2% на 1 декабря 2022, а максимальное присутствие было в марте 2020 (почти 35%). Учитывая объем эмиссии в декабре и дальнейший процесс расконсервации, доля ОФЗ должна снизиться до пренебрежительно малых 10% - минимум с августа 2012.

На этом эпоха присутствия нерезидентов в ОФЗ, можно сказать, заканчивается и рынок российского госдолга замыкается «сам на себя», т.е на резидентов, где основным инвестором являются российские банки.

Но все же, комментарии Банка России любопытны: «В условиях санкционных мер и ответных ограничений на операции нерезидентов на российском рынке владельцы российских ценных бумаг, учитываемых в иностранной учетной инфраструктуре, получили предоставленную законом возможность их перевода в российскую учетную систему. По итогам перевода произошло существенное снижение доли нерезидентов на рынке ОФЗ, поскольку почти половина объема ценных бумаг была переведена по заявлениям российских лиц

Общий объем списанных ценных бумаг оценивается в 1.36 трлн руб. в рублевом эквиваленте. Наиболее активно осуществлялись принудительные переводы ОФЗ – было переведено 37.7% от общего объема ОФЗ, находящихся на хранении на счетах депо, открытых иностранным номинальным держателям.

Отдельно стоит отметить, что почти половина объема ценных бумаг, переведенных в российскую учетную инфраструктуру, принадлежала резидентам, несмотря на то что учитывалась в иностранных депозитариях».

Интересно, а где еще всплывет российский след в иностранных инвестициях в Россию? Видимо, присутствие резидентов во внешнем долге России более значительное, чем ранее предполагалось.",37435,639,2685,,"Неожиданный поворот. Оказывается, что половина всех принадлежащих ОФЗ, якобы на счетах у нерезидентов, является собственностью резидентов России! После начала СВО объем ОФЗ, который формально числился у нерезидентов застыл на отметке 2.74 трлн и практически не менялся с марта по октябрь 2022, а в марте неожиданно было расконсервировано и списано почти 600 млрд ОФЗ. В итоге доля ОФЗ снизилась с 17.6% до 13.2% на 1 декабря 2022, а максимальное присутствие было в марте 2020 (почти 35%). Учитывая объем эмиссии в декабре и дальнейший процесс расконсервации, доля ОФЗ должна снизиться до пренебрежительно малых 10% - минимум с августа 2012. На этом эпоха присутствия нерезидентов в ОФЗ, можно сказать, заканчивается и рынок российского госдолга замыкается «сам на себя», т.е на резидентов, где основным инвестором являются российские банки. Но все же, комментарии Банка России любопытны: «В условиях санкционных мер и ответных ограничений на операции нерезидентов на российском рынке владельцы российских ценных бумаг, учитываемых в иностранной учетной инфраструктуре, получили предоставленную законом возможность их перевода в российскую учетную систему. По итогам перевода произошло существенное снижение доли нерезидентов на рынке ОФЗ, поскольку почти половина объема ценных бумаг была переведена по заявлениям российских лиц Общий объем списанных ценных бумаг оценивается в 1.36 трлн руб. в рублевом эквиваленте. Наиболее активно осуществлялись принудительные переводы ОФЗ – было переведено 37.7% от общего объема ОФЗ, находящихся на хранении на счетах депо, открытых иностранным номинальным держателям. Отдельно стоит отметить, что почти половина объема ценных бумаг, переведенных в российскую учетную инфраструктуру, принадлежала резидентам, несмотря на то что учитывалась в иностранных депозитариях». Интересно, а где еще всплывет российский след в иностранных инвестициях в Россию? Видимо, присутствие резидентов во внешнем долге России более значительное, чем ранее предполагалось.",Anxiety,Anxiety
post,russianmacro,2021-05-25 06:52:01+00:00,"🟢🔴 - несколько смешанная динамика на ЕМ, рост валют против доллара, но, в то же время преимущественно рост CDS, хуже аналогов торговалась Россия, а неплохой спрос отмечен в мексиканском госдолге. 

MMI Market Sentiment Index",15795,0,11126,,":зеленый_круг::красный_круг: - несколько смешанная динамика на ЕМ, рост валют против доллара, но, в то же время преимущественно рост CDS, хуже аналогов торговалась Россия, а неплохой спрос отмечен в мексиканском госдолге. MMI Market Sentiment Index",Neutral,Neutral
comment,spydell_finance,2022-04-02 21:59:57+00:00,"На газе тренеруемся.
С 01.06.2022 весь экспорт по этой схеме.
Плюс эмбарго на некоторый экспорт.",0,0,41882,444.0,На газе тренеруемся. С 01.06.2022 весь экспорт по этой схеме. Плюс эмбарго на некоторый экспорт.,Anxiety,Anxiety
comment,spydell_finance,2022-05-26 11:20:54+00:00,"Увы, я слишком честный, что бы идти на госслужбу. Мзду ни брать, ни давать не приучен.",0,1,109047,984.0,"Увы, я слишком честный, что бы идти на госслужбу. Мзду ни брать, ни давать не приучен.",Neutral,Disappointment
comment,spydell_finance,2025-07-18 13:52:35+00:00,"Нет, дворовая)",0,0,1028005,7990.0,"Нет, дворовая)",Neutral,Neutral
comment,spydell_finance,2022-03-14 20:57:39+00:00,"А я уверен, что Путин сошёл с ума",0,0,12690,210.0,"А я уверен, что Путин сошёл с ума",Anxiety,Anxiety
comment,spydell_finance,2022-05-13 13:01:22+00:00,А те кто ей занял следующие,0,0,93143,878.0,А те кто ей занял следующие,Neutral,Neutral
comment,spydell_finance,2025-05-21 19:12:43+00:00,"Да,не цацкались,не то что сейчас",0,0,988094,7647.0,"Да,не цацкались,не то что сейчас",Aggression,Aggression
comment,spydell_finance,2025-12-18 22:48:23+00:00,Версий много но мужик был реально талантливый.,0,0,1111094,8828.0,Версий много но мужик был реально талантливый.,Neutral,Neutral
comment,spydell_finance,2022-05-02 23:18:48+00:00,Вы как-то общими фразами от меня отбрыкиваетесь) ни одного конкретного ответа. ну и ладно. Спокойной ночи.,0,0,80570,770.0,Вы как-то общими фразами от меня отбрыкиваетесь) ни одного конкретного ответа. ну и ладно. Спокойной ночи.,Aggression,Aggression
post,bitkogan,2022-03-05 11:02:56+00:00,"💵 Рост ключевой ставки и кредиты: пересмотрят ли условия задним числом и кому придётся платить НДФЛ?

🤔 Рост ключевой ставки привёл к росту процентов по кредитам в банках. Как это отразится на уже выданных кредитах?
👍 Пересмотра ставок по уже выданным кредитам, в том числе и ипотечным, не будет, если это не было прописано в кредитном договоре. 

🤔 В соответствии с законом, если ипотечная ставка ниже 2/3 ключевой ставки ЦБ РФ, то у заёмщиков возникает материальная выгода, облагаемая налогом на доходы в размере 35%. Сейчас ключевая ставка составляет 20%, это значит, что все, у кого процентная ставка ниже 13,3%, должны нести дополнительные расходы?
👍 Такой доход облагается НДФЛ, только если соблюдается хотя бы одно из условий. Например, заёмщик состоит с банком в трудовых отношениях или если экономия на процентах является материальной помощью. Короче говоря, речь идёт только о сотрудниках банка, которые получили ипотечный кредит у своего работодателя.",89958,572,16710,,":банкнота_доллара: Рост ключевой ставки и кредиты: пересмотрят ли условия задним числом и кому придётся платить НДФЛ? :думает: Рост ключевой ставки привёл к росту процентов по кредитам в банках. Как это отразится на уже выданных кредитах? :большой_палец_вверх: Пересмотра ставок по уже выданным кредитам, в том числе и ипотечным, не будет, если это не было прописано в кредитном договоре. :думает: В соответствии с законом, если ипотечная ставка ниже 2/3 ключевой ставки ЦБ РФ, то у заёмщиков возникает материальная выгода, облагаемая налогом на доходы в размере 35%. Сейчас ключевая ставка составляет 20%, это значит, что все, у кого процентная ставка ниже 13,3%, должны нести дополнительные расходы? :большой_палец_вверх: Такой доход облагается НДФЛ, только если соблюдается хотя бы одно из условий. Например, заёмщик состоит с банком в трудовых отношениях или если экономия на процентах является материальной помощью. Короче говоря, речь идёт только о сотрудниках банка, которые получили ипотечный кредит у своего работодателя.",Neutral,Neutral
comment,spydell_finance,2024-05-17 07:40:05+00:00,"А ты можешь отдать телефон тому чуваку, который с утра писал. Там понятней было😂",0,1,695328,5360.0,"А ты можешь отдать телефон тому чуваку, который с утра писал. Там понятней было:смеется_до_слез:",Neutral,Neutral
comment,spydell_finance,2024-09-25 17:14:18+00:00,"Вот уж сомневаюсь, что на черный день она труселями откладывает.
Соль, спичка, армейские рационы ..",0,0,819962,6189.0,"Вот уж сомневаюсь, что на черный день она труселями откладывает. Соль, спичка, армейские рационы ..",Anxiety,Anxiety
comment,spydell_finance,2022-12-15 07:35:02+00:00,золотые слова,0,0,364501,2445.0,золотые слова,Neutral,Neutral
comment,spydell_finance,2024-08-15 16:32:46+00:00,"Про то что люди на Интеле влетели,  так то не удивительно...эта бумага у всех пенсионеров в США была (блю чип) как непотопляймый титаник. Известная сказа про неё была "" покупай по 40 продавай по 50"" и как только они дивы перестали платить пенсионные фонды её скинули в маштабе",0,4,786788,5922.0,"Про то что люди на Интеле влетели, так то не удивительно...эта бумага у всех пенсионеров в США была (блю чип) как непотопляймый титаник. Известная сказа про неё была "" покупай по 40 продавай по 50"" и как только они дивы перестали платить пенсионные фонды её скинули в маштабе",Anxiety,Anxiety
comment,spydell_finance,2025-01-31 05:34:03+00:00,"Ты это, Андрюха,на Бога надейся да сам не плошай 😄",0,0,909014,6961.0,"Ты это, Андрюха,на Бога надейся да сам не плошай :смеется_с_закрытыми_глазами:",Neutral,Neutral
comment,spydell_finance,2025-04-12 16:09:29+00:00,"Упадок начинается с попытки удержать власть, и не наказать тех кто заслуживает наказания.",0,0,963739,7426.0,"Упадок начинается с попытки удержать власть, и не наказать тех кто заслуживает наказания.",Anxiety,Anxiety
comment,Coin_Post,2026-01-14 18:41:23+00:00,"так это же ложь, у них по скану за одну минуту более 100 транзакций.",0,1,1958759,17357.0,"так это же ложь, у них по скану за одну минуту более 100 транзакций.",Aggression,Aggression
comment,Coin_Post,2025-07-14 11:37:33+00:00,ау уже на 105 вернулись или нет пока??,0,0,1911040,16088.0,ау уже на 105 вернулись или нет пока??,Anxiety,Anxiety
comment,Coin_Post,2024-04-04 19:00:03+00:00,🫣,0,0,1692363,13040.0,:подсматривает:,Neutral,Neutral
post,centralbank_russia,2025-04-02 13:27:23+00:00,"Публикуем Резюме обсуждения ключевой ставки по итогам заседания 21 марта

Материал отражает основные моменты дискуссии о ситуации в экономике, инфляции, денежно-кредитных и внешних условиях, вариантах решения по ключевой ставке.

⚫️ Участники обсуждения отметили, что в начале года текущее инфляционное давление снижалось, но по-прежнему было высоким. Кредитование замедлялось, а вклады населения активно росли. Внутренний спрос расширялся менее высокими темпами. Наблюдались признаки сокращения дефицита кадров. Это говорит о возможном уменьшении перегрева в экономике, что способствует снижению инфляции. Чтобы убедиться в устойчивости наблюдаемых тенденций, нужно время.

⚫️ По итогам дискуссии Совет директоров Банка России 21 марта сохранил ключевую ставку на уровне 21% годовых.

⚫️ Вероятность повышения ключевой ставки в ближайшем будущем уменьшилась. Но такой шаг возможен, если скорости и устойчивости снижения инфляции будет недостаточно для ее возвращения к 4% в 2026 году.",67920,432,2496,,"Публикуем Резюме обсуждения ключевой ставки по итогам заседания 21 марта Материал отражает основные моменты дискуссии о ситуации в экономике, инфляции, денежно-кредитных и внешних условиях, вариантах решения по ключевой ставке. :черный_круг: Участники обсуждения отметили, что в начале года текущее инфляционное давление снижалось, но по-прежнему было высоким. Кредитование замедлялось, а вклады населения активно росли. Внутренний спрос расширялся менее высокими темпами. Наблюдались признаки сокращения дефицита кадров. Это говорит о возможном уменьшении перегрева в экономике, что способствует снижению инфляции. Чтобы убедиться в устойчивости наблюдаемых тенденций, нужно время. :черный_круг: По итогам дискуссии Совет директоров Банка России 21 марта сохранил ключевую ставку на уровне 21% годовых. :черный_круг: Вероятность повышения ключевой ставки в ближайшем будущем уменьшилась. Но такой шаг возможен, если скорости и устойчивости снижения инфляции будет недостаточно для ее возвращения к 4% в 2026 году.",Neutral,Neutral
comment,Coin_Post,2025-12-24 15:13:48+00:00,А как их купить заранее?,0,1,1954058,17229.0,А как их купить заранее?,Neutral,Neutral
comment,spydell_finance,2024-04-26 14:42:59+00:00,Идентифицированных потерь около 100 тысяч,0,0,673838,5257.0,Идентифицированных потерь около 100 тысяч,Neutral,Neutral
comment,spydell_finance,2022-06-15 17:20:42+00:00,"Хз. Конечно их усиленно опускают, но сила привычки страшная сила. Надо что бы поколение сменилось.",0,0,139136,1168.0,"Хз. Конечно их усиленно опускают, но сила привычки страшная сила. Надо что бы поколение сменилось.",Neutral,Uncertainty
comment,spydell_finance,2022-05-04 07:48:31+00:00,"🤣 Ну да, пугалки это любимая тема любых властей.",0,0,82231,801.0,":катается_со_смеху: Ну да, пугалки это любимая тема любых властей.",Neutral,Disappointment
comment,spydell_finance,2025-01-20 13:31:39+00:00,"Вы спрашиваете, какие у вас когнитивные искажения.
Я их перечислила (минимум), среди них - селективное восприятие.
Вы привели данные смертности в автокатастрофах, при этом взяли 22 год по Германии, хоть первым в Гугле (опять ради вас пришлось заниматься фигней) выскакивают данные за 23.
Вы указали разницу между смертностью в Германии и в России в четыре раза, хотя получается, что ситуация в России хуже, чем в Германии в три раза.
Плюс вы опустили момент, что в России ситуация с каждым годом улучшается, а в Германии - ухудшается.
Это вы сделали намеренно, или ваше подсознание в угоду вашего выбора сыграло с вами злую шутку и исказило ваше восприятие до такой степени, что вы разучились считать (я сейчас не про потерянный порядок, на который вам указали)?

https://rossaprimavera.ru/news/cabf3566#:~:text=Число%20погибших%20в%20результате%20дорожно,больше%2C%20чем%20в%202022%20году.",0,0,902024,6889.0,"Вы спрашиваете, какие у вас когнитивные искажения. Я их перечислила (минимум), среди них - селективное восприятие. Вы привели данные смертности в автокатастрофах, при этом взяли 22 год по Германии, хоть первым в Гугле (опять ради вас пришлось заниматься фигней) выскакивают данные за 23. Вы указали разницу между смертностью в Германии и в России в четыре раза, хотя получается, что ситуация в России хуже, чем в Германии в три раза. Плюс вы опустили момент, что в России ситуация с каждым годом улучшается, а в Германии - ухудшается. Это вы сделали намеренно, или ваше подсознание в угоду вашего выбора сыграло с вами злую шутку и исказило ваше восприятие до такой степени, что вы разучились считать (я сейчас не про потерянный порядок, на который вам указали)?",Aggression,Aggression
comment,swaneconomy,2025-02-04 18:09:51+00:00,Вы это серьёзно? А почему я наблюдаю абсолютно пустые новые офисные здания уже почти год?,0,6,207116,3149.0,Вы это серьёзно? А почему я наблюдаю абсолютно пустые новые офисные здания уже почти год?,Aggression,Aggression
post,Coin_Post,2021-04-02 10:32:50+00:00,"❇ Кто оплачивает бум IPO, прогноз Ethereum $3 500 и что такое оборотный капитал предприятия – подборка статей на пятницу.

🔶 IPO с нулевой суммой: кто платит за праздник доходностей на рынке первичных размещений
Открыть статью

🔶 Следующая цель по капитализации криптовалют – $10 трлн. Рост Ethereum до $3 500
Открыть статью

🔶 Оборотный капитал предприятия: что это такое и как рассчитывается 
Открыть статью

💬 Майк Новограц, Galaxy Digital: Биткоин на неизбежном пути к тому, чтобы достичь и превысить капитализацию золота.

@Coin_Post",21347,0,4711,,":искра: Кто оплачивает бум IPO, прогноз Ethereum $3 500 и что такое оборотный капитал предприятия – подборка статей на пятницу. :большой_оранжевый_ромб: IPO с нулевой суммой: кто платит за праздник доходностей на рынке первичных размещений Открыть статью :большой_оранжевый_ромб: Следующая цель по капитализации криптовалют – $10 трлн. Рост Ethereum до $3 500 Открыть статью :большой_оранжевый_ромб: Оборотный капитал предприятия: что это такое и как рассчитывается Открыть статью :облачко_с_многоточием: Майк Новограц, Galaxy Digital: Биткоин на неизбежном пути к тому, чтобы достичь и превысить капитализацию золота.",Neutral,Neutral
comment,Coin_Post,2024-01-31 15:33:02+00:00,"Думаю все так утром с бодуна идут к минералке,чтоб голову не растрясти",0,0,1653786,12687.0,"Думаю все так утром с бодуна идут к минералке,чтоб голову не растрясти",Neutral,Neutral
comment,spydell_finance,2025-11-12 19:58:32+00:00,"На IPO наскрести $10млрд целая история и успешный успех.
А тут десятки миллиардов если не сотни в трубу.
Ну-ну",0,0,1090231,8645.0,На IPO наскрести $10млрд целая история и успешный успех. А тут десятки миллиардов если не сотни в трубу. Ну-ну,Anxiety,Anxiety
comment,spydell_finance,2022-10-21 14:01:20+00:00,"Отлично, я не планирую работать с идиотами, не переживай за меня) Если бы под таким, да и любым безумным предлогом, выперли бы моего коллегу, то я сам бы ретировался в ближайшее время. Менеджер в данном случае не адекватен",0,0,317483,2103.0,"Отлично, я не планирую работать с идиотами, не переживай за меня) Если бы под таким, да и любым безумным предлогом, выперли бы моего коллегу, то я сам бы ретировался в ближайшее время. Менеджер в данном случае не адекватен",Aggression,Aggression
comment,spydell_finance,2022-05-11 17:57:52+00:00,"Не, не было такого. Сегодня к нему жены азовцев приехали толпой, пытаются уговаривать. Но Путин один фиг его пошлет, так что движухи не будет.",0,0,91250,853.0,"Не, не было такого. Сегодня к нему жены азовцев приехали толпой, пытаются уговаривать. Но Путин один фиг его пошлет, так что движухи не будет.",Neutral,Neutral
comment,centralbank_russia,2024-12-20 12:37:09+00:00,"Елочку хотелось бы добавить, но нам нужны еще бусты )",0,2,150656,2258.0,"Елочку хотелось бы добавить, но нам нужны еще бусты )",Neutral,Neutral
comment,spydell_finance,2022-06-18 02:50:39+00:00,Что уже соскучился по американской котлете?🤮,0,0,142241,1196.0,Что уже соскучился по американской котлете?:рвота:,Aggression,Aggression
comment,spydell_finance,2023-10-25 16:25:21+00:00,Бывает.,0,0,587452,4348.0,Бывает.,Neutral,Neutral
comment,swaneconomy,2026-04-06 19:29:14+00:00,"И в чем смысл, как он ускорит нашу победу?",0,0,345355,4624.0,"И в чем смысл, как он ускорит нашу победу?",Anxiety,Anxiety
comment,spydell_finance,2023-09-26 08:54:23+00:00,Вы имеете ввиду сложно подтянуть бенефициарного владельца. То да. но если к примеру у нас есть холдинг Пирожок в рамках него есть ООО Пирожок с мясом ООО пирожок с повидлом. к примеру управляшка - УК Пирожок. ну и там далее в зависимости от сложности холдинга. Обычно УК владеет какая нибудь структура с виргинских островов. К примеру Пирожок кэпитал лимитед- там аккумулируются весь капитал холдинга. а дальше уже мы не видим бенефициара. потому что контора на виргинских островах. Если к примеру так случилось что Пирожок кэпитал лимитед являясь участником Ук пирожок дал займ не УК пирожок а ООО Пирожок с мясом. То здесь обычная цессия (переуступка) и вот тебе у нужного займа нужный кредитор. ну то есть это не более чем техническая трудность привести в рамках холдинга займ до  безналогового прощения. По разному делали в зависимости от обьемов. Кто-то в капитал кто-то чисто прощал.,0,0,573031,4174.0,Вы имеете ввиду сложно подтянуть бенефициарного владельца. То да. но если к примеру у нас есть холдинг Пирожок в рамках него есть ООО Пирожок с мясом ООО пирожок с повидлом. к примеру управляшка - УК Пирожок. ну и там далее в зависимости от сложности холдинга. Обычно УК владеет какая нибудь структура с виргинских островов. К примеру Пирожок кэпитал лимитед- там аккумулируются весь капитал холдинга. а дальше уже мы не видим бенефициара. потому что контора на виргинских островах. Если к примеру так случилось что Пирожок кэпитал лимитед являясь участником Ук пирожок дал займ не УК пирожок а ООО Пирожок с мясом. То здесь обычная цессия (переуступка) и вот тебе у нужного займа нужный кредитор. ну то есть это не более чем техническая трудность привести в рамках холдинга займ до безналогового прощения. По разному делали в зависимости от обьемов. Кто-то в капитал кто-то чисто прощал.,Neutral,Neutral
comment,spydell_finance,2022-11-24 17:24:47+00:00,"2108 если и соответствовала Гольф II, то по габаритам. А в остальном, может в чём-то со Шкодой и конкурировала…если промовилить и протянуть.",0,0,347461,2338.0,"2108 если и соответствовала Гольф II, то по габаритам. А в остальном, может в чём-то со Шкодой и конкурировала…если промовилить и протянуть.",Neutral,Neutral
